Time(s),Depth(m),Pressure(Pa)
1.0,6.0,106609.30707549422
1.0,6.4,113654.85905268138
1.0,6.8,120703.89676232614
1.0,7.2,127812.03899161163
1.0,7.6,135009.40177036764
1.0,8.0,142202.27150292188
16.4,6.0,106589.48297655155
16.4,6.4,113691.00164005646
16.4,6.8,120791.40748994125
16.4,7.2,127932.40485050176
16.4,7.6,135129.24837234395
16.4,8.0,142321.5743445693
52.8,6.0,106555.68399950529
52.8,6.4,113654.36260870358
52.8,6.8,120750.86597649776
52.8,7.2,127894.43112737298
52.8,7.6,135093.27241047504
52.8,8.0,142285.6302250131
112.8,6.0,106500.25236756295
112.8,6.4,113618.79599860973
112.8,6.8,120735.81943549035
112.8,7.2,127897.98750322286
112.8,7.6,135093.6676434703
112.8,8.0,142284.01736702424
152.8,6.0,106464.04151740878
152.8,6.4,113590.00324297752
152.8,6.8,120714.3955866434
152.8,7.2,127886.34551969526
152.8,7.6,135081.3835156903
152.8,8.0,142270.9298026246
200.0,6.0,106420.38250404516
200.0,6.4,113517.26399305105
200.0,6.8,120621.33125040504
200.0,7.2,127786.94430509038
200.0,7.6,134967.722719525
200.0,8.0,142151.62168057542
