Time(s),P6(Pa),P6.5(Pa),P7(Pa),P7.5(Pa),P8(Pa)
10.23,147387.35094344546,155977.43187184792,235183.94073815804,173159.4147398956,181751.5557853401
30.23,147384.69996918924,155974.50171375106,235176.9338926485,173155.91380061096,181747.76803996606
470.23,147352.29281389737,156595.60327919672,234290.6968993295,175305.01199017442,181480.12843841192
860.23,147341.03701736676,157677.55055271756,218572.5976048006,175962.0594766516,177570.2228516706
1360.23,147331.47039284898,149010.11614438044,138376.6492455724,156117.55568502506,164201.3932178669
2740.23,147314.88507113373,140501.0596374753,128184.88111392657,143995.95676330023,153751.34388159396
3000.23,147312.54662140663,139981.02316745307,128182.8213511346,142920.0640700484,152127.81145513488
4000.23,147304.8095577801,138903.10118429104,128176.5017938461,139608.96818255936,147027.1535086345
5000.23,147298.46218986053,138505.72843202666,128171.32694084036,137285.3828826493,143444.1557775734
6000.23,147293.04007217218,138341.31048717446,128166.89990778176,135664.66757336195,140959.52691506877
7000.23,147288.28332779577,138261.83570613654,128163.0115953128,134541.73868433974,139247.05840218402
8000.23,147284.03069193533,138217.01332951686,128159.53218420249,133767.3768517719,138071.07035657045
9000.23,147280.1746895248,138188.61144981137,128156.3750210866,133235.0390047212,137265.26944997066
10000,147276.63983468714,138169.23484043116,128153.4791294061,132869.76167370338,136713.8121957186
